Year,County,Region,Child Population,% of Children in Total Population,Total Population
2024,Jasper,5-Beaumont,8062,23,35182
2024,Jeff Davis,10-El Paso,332,16,2030
2024,Jefferson,5-Beaumont,60911,23,260469
2024,Jim Hogg,11-Edinburg,1426,29,4969
2024,Jim Wells,11-Edinburg,12364,28,43508
2024,Johnson,3-Arlington,45534,25,180523
2024,Jones,2-Abilene,3171,16,19588
2024,Karnes,8-San Antonio,3560,23,15753
2024,Kaufman,3-Arlington,33224,25,135511
2024,Kendall,8-San Antonio,12015,22,53557
2024,Kenedy,11-Edinburg,113,23,494
2024,Kent,2-Abilene,160,20,808
2024,Kerr,8-San Antonio,10701,20,53363
2024,Kimble,9-Midland,813,19,4208
2024,King,1-Lubbock,54,17,323
2024,Kinney,8-San Antonio,710,21,3444
2024,Kleberg,11-Edinburg,6651,22,30737
2024,Knox,2-Abilene,1029,25,4043
2024,La Salle,8-San Antonio,1812,20,9000
2024,Lamar,4-Tyler,11149,22,49816
2024,Lamb,1-Lubbock,3112,25,12306
2024,Lampasas,7-Austin,4519,21,21602
2024,Lavaca,8-San Antonio,5432,25,21679
2024,Lee,7-Austin,4351,24,17971
2024,Leon,7-Austin,4194,23,18105
2024,Liberty,6-Houston,22337,25,89433
2024,Limestone,7-Austin,5162,22,23552
2024,Lipscomb,1-Lubbock,954,25,3809
2024,Live Oak,11-Edinburg,2641,22,12245
2024,Llano,7-Austin,3364,17,19527
2024,Loving,9-Midland,14,15,93
2024,Lubbock,1-Lubbock,79306,24,336447
2024,Lynn,1-Lubbock,1277,23,5465
2024,Madison,7-Austin,3508,23,14983
2024,Marion,4-Tyler,1956,19,10063
2024,Martin,9-Midland,1867,28,6655
2024,Mason,9-Midland,798,20,3906
2024,Matagorda,6-Houston,9026,24,36979
2024,Maverick,8-San Antonio,18055,29,62074
2024,McCulloch,9-Midland,1950,22,8789
2024,McLennan,7-Austin,65684,25,259984
2024,McMullen,11-Edinburg,134,17,787
2024,Medina,8-San Antonio,11684,22,52651
2024,Menard,9-Midland,420,19,2170
2024,Midland,9-Midland,60803,28,215652
2024,Milam,7-Austin,5818,24,24559
2024,Mills,7-Austin,1067,22,4832
2024,Mitchell,2-Abilene,2006,20,10039
2024,Montague,2-Abilene,4258,22,18964
2024,Montgomery,6-Houston,168185,24,692840
2024,Moore,1-Lubbock,6048,28,21446
